Datetime,Hashrate
2025-06-07 22:00:00,4.923
2025-06-07 23:00:00,4.855
2025-06-08 00:00:00,4.820
2025-06-08 01:00:00,4.808
2025-06-08 02:00:00,4.718
2025-06-08 03:00:00,4.566
2025-06-08 04:00:00,4.629
2025-06-08 05:00:00,4.545
2025-06-08 06:00:00,4.613
2025-06-08 07:00:00,4.604
2025-06-08 08:00:00,4.655
2025-06-08 09:00:00,4.723
2025-06-08 10:00:00,4.750
2025-06-08 11:00:00,4.831
2025-06-08 12:00:00,4.891
2025-06-08 13:00:00,4.989
2025-06-08 14:00:00,4.933
2025-06-08 15:00:00,4.936
2025-06-08 18:00:00,5.101
